YEAR,SEMESTER,COURSENO,SECLEC,SECLAB,GRADE,credit
2561,1,001101,046,000,B+,3
2561,1,206161,001,000,F,3
2561,1,207105,005,000,C,3
2561,1,207115,000,023,B+,1
2561,1,259104,004,000,D,3
2561,1,259106,000,004,C,1
2561,1,259191,000,008,S,1
2561,1,261103,001,000,B,3
2561,1,851100,001,000,C,3
2561,2,001102,100,000,B,3
2561,2,201114,002,000,B+,3
2561,2,206161,003,000,C+,3
2561,2,207106,005,000,C,3
2561,2,207116,000,019,B+,1
2561,2,261102,001,000,B,3
2561,2,400110,001,000,C+,3
2561,3,206162,002,000,D+,3
2561,3,751100,002,000,C,3
2562,1,206261,004,000,W,3
2562,1,252211,002,000,D,3
2562,1,261200,002,000,D+,3
2562,1,261210,001,000,D,3
2562,1,261212,000,001,C,1
2562,1,261216,001,000,D+,3
2562,1,261217,001,000,D,3
2562,2,001201,027,000,C+,3
2562,2,206261,001,000,W,3
2562,2,261207,000,001,C,2
2562,2,261214,001,000,D+,3
2562,2,261215,000,001,A,1
2562,2,261218,001,000,C,3
2562,2,261332,001,000,C+,3
2563,1,206261,002,000,W,3
2563,1,261111,001,000,A,3
2563,1,261304,001,000,W,3
2563,1,261335,001,000,B+,3
2563,1,261336,000,001,B,1
2563,1,261342,002,000,B,3
2563,1,261343,000,002,D+,1
2563,2,001225,024,000,A,3
2563,2,201116,001,000,B,3
2563,2,206100,002,000,A,3
2563,2,206261,002,000,D,3
2563,2,259194,000,003,S,1
2563,2,261361,001,000,B+,3
2563,2,261408,001,000,B+,3
2563,2,261430,001,000,B,3
2564,1,259108,001,000,B,3
2564,1,261304,001,000,D,3
2564,1,261405,001,000,B,3
2564,1,261434,001,000,A,3
2564,1,261457,001,000,A,3
2564,1,261491,000,003,S,1
2564,1,261494,003,000,A,3
2564,1,261497,001,000,W,3
2564,2,259192,000,001,S,1
2564,2,261208,001,000,C,3
2564,2,261305,001,000,B+,3
2564,2,261306,001,000,D,3
2564,2,261492,000,003,P,3
2564,2,261498,001,000,B,3
2564,2,261498,002,000,A,3
